('주', 'Noun') ('를', 'Josa') ('찬양', 'Noun') ('할', 'Verb') ('찌라', 'Verb') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') 
('아름다워서', 'Adjective') ('슬프기', 'Adjective') ('때문', 'Noun') ('일', 'Noun') ('거야', 'Eomi') ('아마도', 'Adverb') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') 
('이뤄지', 'Verb') ('기를', 'Verb') ('난', 'Noun') ('기도', 'Noun') ('해', 'Verb') ('본다', 'Verb') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') 
('이제', 'Noun') ('나', 'Josa') ('오시려나', 'Verb') ('나', 'Noun') ('는', 'Josa') ('애', 'Noun') ('만', 'Josa') ('태우네', 'Verb') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') 
('내', 'Noun') ('무', 'Noun') ('뎌', 'Modifier') ('진', 'Noun') ('손', 'Noun') ('이', 'Josa') ('더', 'Noun') ('아프게', 'Adjective') ('조여', 'Noun') ('와', 'Josa') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') 
('내', 'Noun') ('아픈', 'Adjective') ('사랑', 'Noun') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') 
('아', 'Exclamation') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') 
('꿈', 'Noun') ('이', 'Josa') ('아닌', 'Adjective') ('것', 'Noun') ('처럼', 'Josa') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') 
('봄', 'Noun') ('이', 'Josa') ('오면', 'Verb') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') 
('내', 'Noun') ('아픈', 'Adjective') ('사랑', 'Noun') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') 
('나직이', 'Adverb') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') ('UNK', '') 
