title,singer,lyrics
"나만, 봄",볼빨간사춘기,"안돼 그만둬 거기까지 해 더 다가가면 너 정신 못 차려

안돼 그만해 꽃은 넣어둬 그냥 좀 바람이 불게 놔줘



왜 그럴까 사람들은 그냥 봄기운이 좋아 눈치 없이 밖을 나가는 걸까

왜 이럴까 뭐가 설렌다고 봄바람이 좋아 내 맘도 모르고 더 불어와



flower sunshine 완벽한 하루를 사실 너와 걸을 수 있다면 얼마나 좋을까

좋아한다고 말하기가 무서워서 네 곁을 맴돌고 있는 난

벚꽃도 뭐고 다 필요 없어 나는 네 곁에 있고 싶어 딱 붙어서

봄이 지나갈 때까지 다른 사람 다 사라져라 나만
봄



왜 그럴까 사람들은 그냥 봄기운이 좋아 눈치 없이 밖을 나가는 걸까

왜 이럴까 뭐가 설렌다고 봄바람이 좋아 내 맘도 모르고 더 불어와



flower sunshine 완벽한 하루를 사실 너와 걸을 수 있다면 얼마나 좋을까

좋아한다고 말하기가 무서워서 네 곁을 맴돌고 있는 난

벚꽃도 뭐고 다 필요 없어 나는 네 곁에 있고 싶어 딱 붙어서

봄이 지나갈 때까지 다른 사람 다 사라져라



언제 봄이 왔는지 내 맘도 모르고 봄바람이 자꾸만 불어와

네 곁에 딱 붙어서 떨어지지 않고 싶어 내 맘을 이제 말하고 싶어

벚꽃도 뭐고 다 필요 없어 나는 네 곁에 있고 싶어 딱 붙어서

봄이 지나갈 때까지 다른 사람 다 사라져라 나만
봄"
여행,볼빨간사춘기,"02. 여행

저 오늘 떠나요 공항으로
핸드폰 꺼 놔요 제발 날 찾진 말아줘
시끄럽게 소리를 질러도 어쩔 수 없어 나
가볍게 손을 흔들며 bye bye-

쉬지 않고 빛났던 꿈같은 my youth
이리저리 치이고 또 망가질 때쯤
지쳤어 나 미쳤어 나 떠날 거야 다 비켜
I fly away-

Take me to London Paris New York city들
아름다운 이 도시에 빠져서 나
Like I'm a bird bird 날아다니는 새처럼
난 자유롭게 fly fly 나 숨을 셔

Take me to new world anywhere 어디든
답답한 이 곳을 벗어 나기만 하면
Shining light light 빛나는 my youth
자유롭게 fly fly 나 숨을 셔

저 이제 쉬어요 떠날 거에요
노트북 꺼 놔요 제발 날 잡진 말아줘
시끄럽게 소리를 질러도 어쩔 수 없어 나
가볍게 손을 흔들며 see ya-
쉬지 않고 빛났던 꿈같은 my youth
이리 저리 치이고 또 망가질 때쯤
지쳤어 나 미쳤어 나 떠날 거야 다 비켜
I fly away-

Take me to London Paris New York city들
아름다운 이 도시에 빠져서 나
Like I'm a bird bird 날아 다니는 새처럼
난 자유롭게 fly fly 나 숨을 셔

Take me to new world anywhere 어디든
답답한 이 곳을 벗어 나기만 하면
Shining light light 빛나는 my youth
자유롭게 fly fly 나 숨을 셔

I can fly away Fly always always always

Take me to new world anywhere 어디든
답답한 이 곳을 벗어 나기만 하면
Shining light light 빛나는 my youth
자유롭게 fly fly 나 숨을 셔"
나의 사춘기에게,볼빨간사춘기,"나는 한때 내가 이 세상에 사라지길 바랬어
온 세상이 너무나 캄캄해 매일 밤을 울던 날
차라리 내가 사라지면 마음이 편할까
모두가 날 바라보는 시선이 너무나 두려워

아름답게 아름답던 그 시절을 난 아파서 
사랑받을 수 없었던 내가 너무나 싫어서
엄마는 아빠는 다 나만 바라보는데
내 마음은 그런 게 아닌데 자꾸만 멀어만 가

어떡해 어떡해 어떡해 어떡해

시간이 약이라는 말이 내게 정말 맞더라고
하루가 지나면 지날수록 더 나아지더라고
근데 가끔은 너무 행복하면 또 아파올까 봐
내가 가진 이 행복들을 누군가가 가져갈까 봐

아름다운 아름답던 그 기억이 난 아파서
아픈 만큼 아파해도 사라지지를 않아서
친구들은 사람들은 다 나만 바라보는데
내 모습은 그런 게 아닌데 자꾸만 멀어만 가

그래도 난 어쩌면 
내가 이 세상에 밝은 빛이라도 될까 봐
어쩌면 그 모든 아픔을 내딛고서라도 
짧게 빛을 내볼까 봐
포기할 수가 없어 
하루도 맘 편히 잠들 수가 없던 내가
이렇게라도 일어서 보려고 하면 
내가 날 찾아줄까 봐

아아아아아아아 아아아아아아아
아아아아아아아 아아아아아아아

얼마나 얼마나 아팠을까
얼마나 얼마나 아팠을까
얼마나 얼마나 얼마나 바랬을까"
우주를 줄게,볼빨간사춘기,"커피를 너무 많이 마셨나 봐요 
심장이 막 두근대고 잠은 잘 수가 없어요
한참 뒤에 별빛이 내리면 
난 다시 잠들 순 없겠죠
 
지나간 새벽을 다 새면 
다시 네 곁에 잠들겠죠
너의 품에 잠든 난 마치 
천사가 된 것만 같아요
난 그대 품에 별빛을 쏟아 내리고 
은하수를 만들어 어디든 날아가게 할거야
 
Cause I’m a pilot anywhere 
Cause I’m a pilot anywhere 
lighting star shooting star 줄게 내 Galaxy
Cause I’m a pilot anywhere 
Cause I’m your pilot 네 곁에 
저 별을 따 네게만 줄게 my Galaxy
 
Like a star 내리는 비처럼
반짝이는 널 가지고 싶어
Get ma mind
엄지와 검지만 해도 내 마음을 너무 잘 표현해
붙어 안달 나니까
마냥 떨리기만 한 게 아냐
준비가 되면 쏘아 올린 인공위성처럼
네 주윌 마구 맴돌려 해
더 가까워진다면 네가 가져줄래
이 떨림을

어제는 내가 기분이 참 좋아서 
지나간 행성에다가 그대 이름 새겨 놓았죠
한참 뒤에 별빛이 내리면 
그 별이 가장 밝게 빛나요
 
지나간 새벽을 다 새면 
다시 네 곁에 잠들겠죠
별빛 아래 잠든 난 
마치 온 우주를 가진 것만 같아
난 그대 품에 별빛을 쏟아 내리고 
은하수를 만들어 어디든 날아가게 할거야
 
Cause I’m a pilot anywhere 
Cause I’m a pilot anywhere 
Lighting star Shooting star 
줄게 내 Galaxy
Cause I’m a pilot anywhere 
Cause I’m your pilot 네 곁에 
저 별을 따 네게만 줄게 my Galaxy
 
Cause I’m a pilot anywhere 
Cause I’m a pilot anywhere 
Lighting star Shooting star 줄게 내 Galaxy
Cause I’m a pilot I’m your pilot
Lighting star Shooting star 줄게 my Galaxy
 
라라라라라 라라라라라"
나비와 고양이 (Feat. 백현 (BAEKHYUN)),볼빨간사춘기,"나를 보면 숨어요 어디든 자유롭게 날아요
이 날씨도 그댈 위한 거예요
난 너를 찾아요 그러면 그댄 어디든 있어요
내 손 위에 머물러 잠시 앉아 쉬어요

몰래몰래 그대를 보아요
사랑스런 날개 그댄 어디서 온 건가요
말하지 못한 채 나 손을 뻗어요
보랏빛 날개 그대는 달아요

내 맘이 그런 것처럼
그대 맘이 그런 것처럼 yeah

나를 보면 숨어요 어디든 자유롭게 날아요
이 날씨도 그댈 위한 거예요
난 너를 찾아요 그러면 그댄 어디든 있어요
내 손 위에 머물러 잠시 앉아 쉬어요
 
가만히 난 몰래몰래 그대를 보아요
사랑스런 날개 그댄 어디서 온 건가요
말하지 못한 채 나 손을 뻗어요
보랏빛 날개 그대는 달아요

내 맘이 그런 것처럼
그대 맘이 그런 것처럼 yeah

나를 보면 숨어요 어디든 자유롭게 날아요
이 날씨도 그댈 위한 거예요
난 너를 찾아요 그러면 그댄 어디든 있어요
내 손 위에 머물러 잠시 앉아 쉬어요

설렘이 가득하죠
이 날씨도 그 기분까지도
난 너를 찾아요 그러면 그댄 어디든 있어요
내 손 위에 머물러 잠시 앉아 쉬어요

내 어깨에 기대어
잠시 눈을 감아요"
썸 탈꺼야,볼빨간사춘기,"표현이 서툰 것도 잘못인가요? 
나 차가운 도시에 따뜻한 여잔데
그냥 좋아한단 말도 안 되는가요? 
솔직하게 난 말하고 싶어요

사라져 아니 사라지지 마 
네 맘을 보여줘 아니 보여주지 마
하루 종일 머릿속에 네 미소만 
우리 그냥 한번 만나볼래요?

나 오늘부터 너랑 썸을 한번 타볼 거야 
나 매일매일 네게 전화도 할 거야
밀가루 못 먹는 나를 달래서라도 
너랑 맛있는 걸 먹으러 다닐 거야

넘넘 스윗한 넌 정말 달콤한 걸
넘넘 스윗한 넌

그냥 좋아한단 말도 안 되는가요? 
솔직하게 난 말하고 싶어요

사라져 아니 사라지지 마 
네 맘을 보여줘 아니 보여주지 마
하루 종일 머릿속에 네 미소만 
우리 그냥 한번 만나볼래요?

나 오늘부터 너랑 썸을 한번 타볼 거야 
나 매일매일 네게 전화도 할 거야
밀가루 못 먹는 나를 달래서라도 
너랑 맛있는 걸 먹으러 다닐 거야

사랑은 이렇게 생기는 게 아니겠어 
어쩌면 내 맘의 반쪽을 네게 걸어보는 건데
나는 오늘도 네게 차일 것만 같아도 
난 한번 더 너에게 다시 달려가 볼 거야

나 오늘부터 너랑 썸을 한번 타볼 거야 
나 매일매일 네게 전화도 할 거야
매운 거 못 먹는 나를 달래서라도 
너랑 맛있는 걸 먹으러 다닐 거야

나도 그 애처럼 좋아요 좀 눌러줘 
나도 너랑 말 좀 할 수 있게 해줘
나는 풀이 죽어서 오늘도 포기하고 
뒤를 돌아볼 때쯤 나를 붙잡는 넌

넘넘 스윗한 넌 정말 달콤한 걸
넘넘 스윗한 넌"
나만 안되는 연애,볼빨간사춘기,"왠지 오늘따라 마음이 아픈지 했더니
오늘은 그대가 날 떠나가는 날이래요
왜 항상 나는 이렇게 외로운 사랑을 하는지
도무지 이해가 안가는 이상한 날이에요
 
왜 그랬는지 묻고 싶죠 
날 사랑하긴 했는지
그랬다면 왜 날 안아줬는지 
그렇게 예뻐했는지
 
나만 이런 세상을 살고 있는 것 같아요
바라보기만 하다 포기할 수는 없겠죠
근데도 이렇게 아픈 마음만 가지고 사는 건
도무지 불공평해서 견딜 수가 없어요
 
Please come back to me
Yeah yeah umm yeah
 
왠지 오늘만은 그렇게 보내기 싫은지
오늘은 그대와 나 마지막인가 봐요
왜 항상 나는 이렇게 아무 말도 못하는지
도무지 이해가 안가는 이상한 날이에요
 
시작부터 사랑하지 않았다고 
내게 말했었다면
그랬다면 나의 마음은 
이렇게 굳게 닫혔을까요
 
나만 이런 세상을 살고 있는 것 같아요
바라보기만 하다 포기할 수는 없겠죠
근데도 이렇게 아픈 마음만 가지고 사는 건
도무지 불공평해서 견딜 수가 없어요
 
Please come back to me 
(그대는 아무렇지 않겠죠)
Please come back to me 
(내 눈물로 더 이상 붙잡을 수는 없겠죠)
Yeah Oh 
(근데도 이렇게)
(아픈 마음만 가지고 사는 건)
(도무지 불공평해서 견딜 수가 없어요)
 
Please come back to me
Yeah yeah umm yeah
 
Please come back to me
Yeah yeah umm yeah
 
나는 사실 이성적인 게 참 싫어요
그래서 우린 헤어져야만 했으니까
아무렇지 않게 살아가도
매일 밤이 고통스럽겠죠
그대가 정이 많은 사람이었다면
날 안아주진 않았을까요?"
좋다고 말해,볼빨간사춘기,"안녕, 
오늘도 같은 자리 버스 창가에
기대 앉은 네게 인사를 해, Hi
역시 넌 받아 주지를 않네
인기 많고 잘생긴 넌 내게만 
그렇게 쌀쌀하게 굴더라
 
근데 Last Night 기억나? 
넌 내가 좋다고 했어
그 예쁜 가로등 아래서 
넌 내가 좋다고 말했어
다음부턴 모른 척, 아닌 척해도
You Have To Know That
확신을 해야 돼 넌, 
그 날 넌 내가 좋다고 했어 Yeah
 
If You Like Me Or Love Me, 
Just Say Yes Yes Yes
And Then I'm Your Girlfriend 
And You're My Boyfriend 
어서 내게 좋다고 말해줘
 
몰래 오늘도 도서관 맨 앞자리에
기대 앉은 네게 인사를 해 Oh Boy~
역시 넌 받아 주지를 않네
인기 많고 잘생긴 넌 내게만 
그렇게 쌀쌀하게 굴더라
 
근데 Last Night 기억나? 
넌 내가 좋다고 했어
그 예쁜 가로등 아래서 
넌 내가 좋다고 말했어
다음부턴 모른 척, 아닌 척해도
You Have To Know That
확신을 해야 돼 넌,
그 날 넌 내가 좋다고 했어 Yeah
 
If You Like Me Or Love Me, 
Just Say Yes Yes Yes
And Then I'm Your Girlfriend 
And You're My Boyfriend 
어서 내게 좋다고 말해줘 Oh~
 
널 참 많이 좋아하는 난데 
우린 이어질 수 없는 걸까
내 긴 교복 치마가 
부끄러워 초라해 Yeah
네 곁엔 항상 키 크고 
예쁜 애들이 넘치는데 Woo~
 
If You Like Me,
If You Love Me Yeah~
And Then I'm Your Girlfriend
And You're My Boyfriend 
어서 내게 좋다고 말해줘
If You Like Me Or Love Me,
Just Say Yes Yes Yes
And Then I'm Your Girlfriend 
And You're My Boyfriend 
어서 내게 좋다고 말해줘"
별 보러 갈래?,볼빨간사춘기,"maybe it's like a dream I see the stars over me
maybe it's like a magic I know you you you're my star
saturday night 재미없는 얘기 no beer no cheers 우리 둘만 여기
재미없는 사람끼리 눈이 맞았나 봐
you've heard of my songs 어떤 별을 가장 좋아하냐며
미소를 띠고 내게 말해 별 보러 갈래?

listen to our favorite songs 좋아하는 노랠 듣고 웃고 떠들다 보면
we drive away 어느새 멋진 바다 위로 별들이 쏟아져내려
can’t you see the stars?
they called it milky way 쏟아져 머리 위로 넌 나를 업고 모래사장을 뛰어다녀 yeah
그중 가장 예쁜 저 별을 찾아서 밤이 새도록 뛰어다니고 stars are over me

maybe I know the name I see the stars over me
maybe you got a planet I know you you got my star
everyday night 매일 같은 얘기 no feeling no chilling 우리 둘만 여기
재미없는 사람끼리 눈이 맞았나 봐
you've heard of my songs 어떤 별을 가장 좋아하냐며
미소를 띠고 내게 말해 별 보러 갈래?
listen to our favorite songs 좋아하는 노랠 듣고 웃고 떠들다 보면
we drive away 어느새 멋진 바다 위로 별들이 쏟아져내려
can’t you see the stars?

모래 위에 누워서 저 별을 다 세보다가 아름다웠던 우리 이 순간을 저 별에 담아서 we fell in love
see the star be your star yeah yeah
they called it milky way 쏟아져 머리 위로 넌 나를 업고 모래사장을 뛰어다녀 yeah
그중 가장 예쁜 저 별을 찾아서 밤이 새도록 뛰어다니고 stars are over me"
Blue,볼빨간사춘기,"음음음음음 yeah 음음음음음
So blue blue blue blue yeah 
blue blue blue blue

지금 내 맘의 색깔은 blue 
기분이 별로 안 좋아 알잖아 
나 좀 예민해 네게만 참 까다롭잖아
잘 지냈냐고 물어보네 Do you? 
난 아냐 지금보다 조금 더 나아졌으면 해

미안해 미워해 조금은 좋아해 
좀 야윈 모습이 안쓰럽기는 해도
나는 또 아직도 네 눈을 마주칠 수 없는 걸 
넌 여전히 내가 참 미워 보이잖아

파랗게 blue blue 우리가 칠해지네 
서로의 맘도 파랗게 멍들어갈 때
내 맘은 true true 너와 함께 있을 땐 
사랑받던 모습이 그토록 아름다웠는데

음음음음음 yeah 음음음음음
So blue blue blue blue yeah 
blue blue blue blue

지금 내 맘의 색깔은 blue 
기분이 별로 안 좋아 알잖아 
나 좀 피곤해 네게만 참 까다롭잖아
잘 지냈냐고 물어봐도 Do you? 
난 아냐 지금보다 조금 더 아파했으면 해

미안해 미워해 아직 널 좋아해 
네 지친 모습이 안쓰럽기는 해도
나는 또 아직도 네 눈을 마주칠 수 없는 걸 
넌 여전히 내가 참 미워 보이잖아

파랗게 blue blue 우리가 칠해지네 
서로의 맘도 파랗게 멍들어갈 때
내 맘은 true true 너와 함께 있을 땐 
사랑받던 모습이 그토록 아름다웠는데

미안해 미워해 조금은 좋아해
미안해 미워해 아직 널 좋아해

파랗게 blue blue 우리가 칠해지네 
서로의 맘도 파랗게 멍들어갈 때
내 맘은 true true 너와 함께 있을 땐 
사랑받던 모습이 그토록 아름다웠는데

음음음음음 yeah 음음음음음
So blue blue blue blue yeah 
blue blue blue blue"
