title,singer,lyrics
거짓말이라도 해서 널 보고싶어,백지영,"내가 미안해 
이렇게 아플 줄도 모르고 
너에게 모질게도 대했던 바보야

후회에 맘을 담아 봤자
이미 끝난 걸 
이제 다시는
너를 볼 수 없잖아

거짓말이라도 
해서 널 보고싶어
줄게 남아있다고 
억지를 부리곤
한번 더 너를 보고싶어 

나 많이 구차하지만
네 맘을 돌릴 수 있다면
다시 날 사랑하게 할 수 있다면
내가 그대를 기다릴게요

어제는 하루 종일 펑펑 울었어 
아직까지도 너의 온기가
내 맘을 감싸 안아서 
내 맘을 왜 몰라주냐며 
슬프게 울고 있던 너를 
그저 바라보기만 했었던 나야 

거짓말이라도 
해서 널 보고싶어
줄게 남아있다고 
억지를 부리곤
한번 더 너를 보고싶어 

나 많이 구차하지만
네 맘을 돌릴 수 있다면
다시 날 사랑하게 할 수 있다면
내가 그대를 기다릴게요

나를 버리지마
내가 잘못했어
잠시 동안 내가 미쳤었나봐
가슴이 찢어질 듯이 아파 
제발 가지마
내게 잘 지내라고 말하지마 

거짓말이었어
확인받고 싶어서 
사랑받고 싶어서
네 맘을 찢어놓고
이기적인 사랑을 했었나봐

내가 미친게 맞아
이제 와서 후회가 돼
그렇게 잘해줬던 너였는데 
내가 그대를 놓친 거에요
나 같은 사람 만나지마요"
총 맞은 것처럼,백지영,"총맞은것처럼
정신이 너무 없어 

웃음만 나와서 
그냥 웃었어 그냥 웃었어 
그냥

허탈하게 웃으며
하나만 묻자 했어

우리 왜헤어져 
어떻게 헤어져 
어떻게 헤어져  어떻게 

구멍난 가슴에 
우리 추억이 흘러 넘쳐 

잡아보려해도 
가슴을 막아도 
손가락 사이로 빠져나가 

심장이 멈춰도 
이렇게
아플거 같진 않아 
어떻게 좀 해줘   
날 좀 치료해줘
이러다 내 가슴 다 망가져 
구멍난 가슴이 

어느새 눈물이 
나도 모르게 흘러 
이러기 싫은데
정말 싫은데 
정말 싫은데  정말 

일어서는 널 따라 
무작정 쫓아갔어 
도망치듯 걷는 
너의 뒤에서 너의 뒤에서 
소리쳤어

구멍난 가슴에 
우리 
추억이 흘러 넘쳐 
잡아보려해도 
가슴을 막아도 
손가락 사이로 빠져나가 

심장이 멈춰도  이렇게
아플거 같진 않아 
어떻게 좀 해줘 
날 좀 치료해줘 
이러다 내 가슴 다 망가져 

총맞은 것처럼 정말 
가슴이 너무 아파 

이렇게 아픈데 이렇게 아픈데 
살 수가 있다는 게 이상해

어떻게 너를 잊어  내가 
그런거 나는 몰라  몰라
가슴이 뻥 뚫려
채울 수 없어서 
죽을만큼 아프기만 해 
총맞은것처럼"
그 여자,백지영,"한 여자가 그대를 사랑합니다 그 여자는 열심히 사랑합니다
매일 그림자처럼 그대를 따라다니며 그 여자는 웃으며 울고 있어요

얼마나 얼마나 더 너를 이렇게 바라만 보며 혼자
이 바람 같은 사랑 이 거지같은 사랑 계속해야 니가 나를 사랑 하겠니

조금만 가까이 와 조금만 한발 다가가면 두 발 도망가는
널 사랑하는 난 지금도 옆에 있어 그 여잔 웁니다

그 여자는 성격이 소심합니다 그래서 웃는 법을 배웠답니다
친한 친구에게도 못하는 얘기가 많은 그 여자의 마음은 눈물투성이

그래서 그 여자는 그댈 널 사랑 했데요 똑같아서
또 하나같은 바보 또 하나같은 바보 한번 나를 안아주고 가면 안돼요

난 사랑 받고 싶어 그대여 매일 속으로만 가슴 속으로만 소리를 지르며
그 여자는 오늘도 그 옆에 있데요

그 여자가 나라는 걸 아나요 알면서도 이러는 건 아니죠
모를거야 그댄 바보니까

얼마나 얼마나 더 너를 이렇게 바라만 보며 혼자
이 바보 같은 사랑 이 거지같은 사랑 계속해야 니가 나를 사랑 하겠니

조금만 가까이 와 조금만 한발 다가가면 두 발 도망가는
널 사랑하는 난 지금도 옆에 있어 그 여잔 웁니다"
"다시는 사랑하지 않고, 이별에 아파하기 싫어",백지영,"유난히 추운 날

따스한 햇살 같던 날

그대를 처음 마주했던 밤

웃음이 새어 나오고

설레는 맘을 간직했었던 그 날의 우리



점점 서로가 당연한 듯 익숙해질 때

그때 알았어야 했어

조금 섣불렀단 걸



다시는 사랑하지 않고

이별에 아파하기 싫어

내가 싫어 떠나간 그대를

기다리는 나



아닌 척하는 게 힘들어

아직도 네가 많이 보고 싶어

네 생각에 아파오는 나



그대를 탓하며 혼자서 원망했던 날

사실 이별을 인정하기 싫었어

차가워진 네 말투를

그럴 수 있다며

난 괜찮다고 아무렇지 않다고



사랑해 아직 잊지 못해

아직도 슬퍼하는 나야

돌이킬 수 없단 걸 알지만

사랑한다고



아닌 척하는 게 힘들어

아직도 네가 많이 보고 싶어

추억에 또 아파오는 나



떠나가던 날

붙잡을 수 없었던

나를 미워하며 보낸 지난날

그대가 내게 돌아오는 날만 기다려

찢어질 듯 아팠다고

날 사랑해달라고



미안해 아직 잊지 못해

아직도 슬퍼하는 나야

돌이킬 수 없단 걸 알지만

사랑한다고



아닌 척하는 게 힘들어

아직도 네가 많이 보고 싶어

추억에 또 아파오는 나

이별에 또 울고 있는 나"
잊지 말아요,백지영,"우리 서로 사랑했는데
우리 이제 헤어지네요
같은 하늘 다른 곳에 있어도
부디 나를 잊지 말아요

차가운 바람이 손 끝에 스치면
들려오는 그대 웃음소리
내 얼굴 비치던 그대 두눈이 
그리워 외로워 울고 또 울어요
입술이 굳어버려서
말하지 못했던 그 말 
우리 서로 사랑했는데
우리 이제 헤어지네요
같은 하늘 다른 곳에 있어도
부디 나를 잊지 말아요

눈물이 입을 가려서 
말하지 못했던 그 말
우리 서로 사랑했는데
우리 이제 헤어지네요
같은 하늘 다른 곳에 있어도
부디 나를 잊지 말아요

혹시 알고 있나요
뒤돌아서 가슴 쥐고 그댈 보내주던 그 사람
그 사람이 바로 나예요
그 사람을 사랑해줘요
같은 하늘 다른 곳에 있어도 
언젠가는 돌아와줘요

우리 서로 사랑했는데
우리 이제 헤어지네요
같은 하늘 다른 곳에 있어도
부디 나를 잊지 말아요
부디 나를 잊지 말아요"
Dash,백지영,"벌써 며칠째야 애만 태우는게 
날 사랑한단 한 마디 말조차 하지 못한 채 용기가 없는 넌 다가오지 못하고
언제까지나 그렇게 멀리서 바라볼 거야 
이젠 내가 너보다 먼저 다가갈 거야
널 사랑한다 그 말을 내가 먼저 하고 말거야 
서로가 사랑인 걸 알고 있는데 왜 이러고만 있어야 하는지도 정말 답답해
 이런 얘길 내가 먼저 한다면 언제나 남자들은 부담스러워 하지
 너 역시 그렇다면 어쩔 수 없어 
넌 사랑 받을 자격도 없는 거니까 
이제 와서 이런 얘길 하기가 조금은 껄끄럽고 어색하긴 하지만
사랑은 그리 쉽게 얻을 수 없어 언제까지나 이럴 순 없잖아
 누가 먼저란 건 그리 중요하지 않아 
짧은 생을 사랑 하나 만으로 산다면 너를 사랑한 후 내가 달라진 건 외롭던 나의 시간이 채워 준 너의 생각들 불처럼 타오른 열정은 아니지만 깨지지 않는 사랑의 믿음이 생겨난 거야
 이젠 내가 너보다 먼저 다가갈 거야 
널 사랑한다 그 말을 내가 먼저 하고 말거야 
서로가 사랑인 걸 알고 있는데 왜 이러고만 있어야 하는지도 정말 답답해
 이런 얘길 내가 먼저 한다면 언제나 남자들은 부담스러워 하지
 너 역시 그렇다면 어쩔수 없어 넌 사랑받을 자격도 없는 거니까"
사랑했던 날들,백지영,"희미해진 기억 어느 봄날의 꿈들
전부 사라지고 시린 밤은 깊어가고
지친 맘을 모른 척해 봐도 
이제는 사랑했던 그날들이
소리 없이 찾아온 나날들이
수많은 계절들에 모든 추억이
지워낼 수도 없는 그 모든 추억이 
이젠 보이지가 않고 더는 내 곁에 없어도
그리워할 수도 없을 만큼 나 아파서
마른 눈물을 삼켜내고
소리 없이 또 하루를 견딘다
희미했던 표정 어느 새벽의 아픈 기억들 
전부 사라지고 기억 속에 너는 없고
나만 이렇게 멈춰있다 
이제는 사랑했던 그날들이
소리 없이 찾아온 나날들이 
수많은 계절들에 모든 추억이
지워낼 수도 없는 그 모든 추억이 
이젠 보이지가 않고 더는 내 곁에 없어도 
그리워할 수도 없을 만큼 나 아파서
마른 눈물을 삼켜내고
소리 없이 난 무너져간다
그대 영원이란 약속들
잠시 스쳐가는 바람처럼 지나간다
한없이 사랑했던 그날들이
끝도 없이 헤매던 그날들이 
수많은 계절들에 모든 추억이
지켜내야만 했던 그 모든 순간이
이젠 아무 의미 없고 모두 내 곁을 떠나고 
견뎌낼 수조차 없을 만큼 나 아파서
마른 눈물이 쏟아지고
추억들에 난 무너져간다"
부담,백지영,"다시 널 사랑할 수 없다면 내 모든 아픔까지 가져가 
네게 익숙해져버린 나였기에 너를 사랑할 수가 없어
나 아닌 다른 사람만나서 너에게 부담이 되었다면
그만 잊어줄게 떠날건 어차피 나였을 테니까

슬픈 음악이 흘러 나올때마다 난 눈물이 나올것 같아
나 이젠 널 잊은줄 알았는데 술에 취해 아무리 울어봐도 
더욱 더 생각이 나는건 이루지 못한 나의 사랑때문일거야

다시 널 사랑할 수 없다면 내 모든 아픔까지 가져가 
네게 익숙해져버린 나였기에 너를 사랑할 수가 없어
나 아닌 다른 사람만나서 너에게 부담이 되었다면
그만 잊어줄게 떠날건 어차피 나였을 테니까

슬픈 음악이 흘러 나올때마다 난 눈물이 나올것 같아
나 이젠 널 잊은줄 알았는데 술에취해 아무리 울어봐도 
더욱 더 생각이 나는건 이루지 못한 나의 사랑때문일꺼야

다시 널 사랑할 수 없다면 내 모든 아픔까지 가져가 
네게 익숙해져버린 나였기에 너를 사랑할 수가 없어
나 아닌 다른 사람만나서 너에게 부담이 되었다면
그만 잊어줄게 떠날건 어차피 나였을 테니까

이제는 혼자 남겨진 내가 낯설고 어색하긴하지만
모든 끝나버린 사랑이었기에 너를 떠나 보낼 수 있어
또 다른 사람만나도 괜찮아 난 너의 사랑을 받았으니
그만 잊어줄께(이젠 보내줄께) 떠날건 어차피 나였을테니까"
사랑 안해,백지영,"그럴려고 그랬어 돌아가려고 
너의 차가움엔 그래 다 이유 있었던거야 
나를 만지는 너의 손길 없어진 
이제야 깨닫게 되어서 내맘 떠나간 것을 

설마하는 그런 미련 때문에 
그래도 나는 나를 위로해 
나 이제 이러는 내가 더 가여워 
이제라도 널 지울꺼야 기억의 모두를 

이제 다시 사랑안해 말하는 난 너와 같은 사람 
다시 만날 수가 없어서 사랑할 수 없어서 
바보처럼 사랑 안해 말하는 널 사랑한다 
나를 잊길바래 나를 지워줘 

바보처럼 몰랐어 너희 두 사람 
아직 기억하려던 그건 그래 다 욕심이야 
다짐했건만 매일 아침 눈을 떠 
지나간 너에게 기도해 나를 잊지 말라고 

제발 지금 내가 바라는 하나 
내 얘길 너무 쉽게 하지마 
차라리 나를 모른다고 말해줘 
시간지나 알게 될꺼야 내 사랑의 가치를 

이제 다시 사랑안해 말하는 난 너와 같은 사람 
다시 만날 수 가 없어서 사랑할 수 없어서 
바보처럼 사랑안해 말하는 널 사랑한다 
나를 잊길 바래 나를 지워줘

내가 없는 내가 아닌 그 자리에 사랑 채우지마 
혹시 만날 수 가 있다면 사랑 할 수 있다면 
아프잖아 사랑한 널 지켜보며 사랑한다 
그 말 한마디를 하지 못해서"
새벽 가로수길 (With 송유빈),백지영,"해가 저문 9시 옷을 걸치고
아무도 돌아오지 않은 집을 나설 때
가로등의 불빛이 하나 둘씩 켜지고
오늘 하루 고생한 사람들이 모일 때   

한잔씩 한 테이블씩 정리를 하고     
힘들면 한 십 분씩 쉬기도 하고
한번씩 또 한번씩 생각난데도 
보고 싶어도 이젠 아무 사이 아닌데  

하루 종일 너라는 핑계를 대고
바보같이 노래를 불러보아도
아직도 날 올려다보던 네 눈빛
장난칠 때 웃으며 때리던 손길

사진 속을 몇 번을 들여다보고
한심하게 속앓이 흘려보아도
아무도 날 울리지 않는 전화기
집으로 돌아가는 길 새벽 가로수길

해가 저문 9시 옷을 걸치고
아무도 남지 않은 거리를 나설 때
간판의 불빛이 하나 둘씩 꺼져도
사람들이 하루를 끝낼 생각 없을 때

한곳씩 한 정거장씩 집으로 가고
오늘 있었던 일 생각도 좀 하고
하나씩 또 하나씩 말하고 싶어도
보고 싶어도 이젠 아무 사이 아닌데

하루 종일 너라는 핑계를 대고
바보같이 노래를 불러보아도
아직도 날 올려다보던 네 눈빛
장난칠 때 웃으며 때리던 손길

사진 속을 몇 번을 들여다보고
한심하게 속앓이 흘려보아도
아무도 날 울리지 않는 전화기
집으로 돌아가는 길 새벽 가로수길

가끔씩 다시 안고 싶을 때
아프지 않게 잡고 싶을 때
전화기 너머 듣고 싶을 때
항상 보고 싶을 때

하루 종일 너라는 핑계를 대고
바보같이 노래를 불러보아도
아무도 날 울리지 않는 전화기
집으로 돌아가는 길 새벽 가로수길"
