"name","desc","type1","type2","egg_group"
"치코리타","머리의 잎사귀에서 살짝 달콤한 향기가 감돈다. 얌전하며 햇볕을 쬐는 것을 매우 좋아한다.좋은 향기가 나는 잎사귀는 주변의 습도나 온도를 탐지하는 능력을 지니고 있다.햇살을 쬐는 걸 아주 좋아한다. 머리의 잎사귀를 사용해 따뜻한 곳을 찾는다.잎사귀를 휘둘러 상대를 위협하지만 잎사귀에서 달콤한 향기가 풍겨 나와 서로 온화한 분위기가 된다.좋은 향기가 나는 잎사귀는 주변의 습도나 온도를 탐지하는 능력을 지니고 있다.머리의 잎사귀에서 살짝 달콤한 향기가 감돈다. 얌전하며 햇볕을 쬐는 것을 매우 좋아한다.머리의 잎사귀로 주위의 온도나 습도를 살핀다. 햇볕을 쬐는 것을 매우 좋아한다.머리에 잎사귀로 주위의 온도나 습도를 살핀다. 햇볕을 쬐는 것을 매우 좋아한다.머리의 잎사귀에서 살짝 달콤한 향기가 감돈다. 얌전하며 햇볕을 쬐는 것을 매우 좋아한다.좋은 향기가 나는 잎사귀는 주변의 습도나 온도를 탐지하는 능력을 지니고 있다.머리의 잎사귀로 주위의 온도나 습도를 살핀다. 햇볕을 쬐는 것을 매우 좋아한다.머리의 잎사귀에서 살짝 달콤한 향기가 감돈다. 얌전하며 햇볕을 쬐는 것을 매우 좋아한다.머리의 잎사귀로 주위의 온도나 습도를 살핀다. 햇볕을 쬐는 것을 매우 좋아한다.잎사귀를 휘둘러 상대를 위협하지만 잎사귀에서 달콤한 향기가 풍겨 나와 서로 온화한 분위기가 된다.자료 없음","풀","","괴수,식물"
"베이리프","목 주변에서 나는 향긋한 향기를 맡으면 왠지 싸우고 싶어진다.목 주변에서 발산하는 향신료 같은 향기에는 힘을 내도록 하는 효과가 있다.목 주위의 잎사귀에서 풍기는 향기를 맡은 사람은 몸에서 힘이 넘쳐흐른다.목 주변의 둥그렇게 말린 잎사귀 안에는 작은 새싹 한 개가 나 있다. 그 향기는 사람을 기운 나게 한다.목 주변에서 발산하는 향신료 같은 향기에는 힘을 내도록 하는 효과가 있다.목 주변에서 나는 향긋한 향기를 맡으면 왠지 싸우고 싶어진다.목 주위의 봉오리로부터 풍기는 향긋한 향기는 향기를 맡은 사람을 힘이 나게 한다.목 주변에서 나는 향긋한 향기를 맡으면 왠지 싸우고 싶어진다.목 주변에서 발산하는 향신료 같은 향기에는 힘을 내도록 하는 효과가 있다.목 주위의 봉오리로부터 풍기는 향긋한 향기는 향기를 맡은 사람을 힘이 나게 한다.목 주변에서 발산하는 향신료 같은 향기에는 힘을 내도록 하는 효과가 있다.목 주위의 봉오리로부터 풍기는 향긋한 향기는 향기를 맡은 사람을 힘이 나게 한다.목 주변의 둥그렇게 말린 잎사귀 안에는 작은 새싹 한 개가 나 있다. 그 향기는 사람을 기운 나게 한다.자료 없음","풀","","괴수,식물"
"메가니움","꽃잎에서 발산되는 향기에는 다투는 마음을 가라앉게 하는 성분이 담겨 있다.메가니움이 뿜어내는 숨결에는 말라 죽은 풀과 나무를 살려내는 힘이 담겨 있다.메가니움의 곁에 있으면 삼림욕을 한 것 같은 상쾌한 기분이 될 수 있다.꽃의 향기는 기분을 평안하게 만든다. 싸울 때는 향기를 발산하여 상대의 전의를 떨어뜨린다.메가니움이 뿜어내는 숨결에는 말라 죽은 풀과 나무를 살려내는 힘이 담겨 있다.꽃잎에서 발산되는 향기에는 다투는 마음을 가라앉게 하는 성분이 담겨 있다.메가니움이 뿜어내는 호흡에는 시든 화초를 되살리는 이상한 힘이 숨어 있다.꽃잎에서 발산되는 향기에는 다투는 마음을 가라앉게 하는 성분이 담겨 있다.메가니움이 뿜어내는 숨결에는 말라 죽은 풀과 나무를 살려내는 힘이 담겨 있다.메가니움이 뿜어내는 호흡에는 시든 화초를 되살리는 이상한 힘이 숨어 있다.꽃잎에서 발산되는 향기에는 다투는 마음을 가라앉게 하는 성분이 담겨 있다.메가니움이 뿜어내는 숨결에는 말라 죽은 풀과 나무를 살려내는 힘이 담겨 있다.꽃의 향기는 기분을 평안하게 만든다. 싸울 때는 향기를 발산하여 상대의 전의를 떨어뜨린다.자료 없음","풀","","괴수,식물"
"브케인","겁이 많아서 늘 몸을 웅크리고 있다. 습격당하면 등의 불꽃을 타오르게 해서 몸을 보호한다.평소에는 등을 둥글게 하고 있다. 화가 났을 때와 놀랐을 때 등에서 불꽃을 뿜어낸다.등에서 내뿜는 불꽃은 화났을 때가 가장 세게 불타올라서 적을 놀래킨다.등에서 불꽃을 내뿜어 몸을 지킨다. 화났을 때의 불꽃은 기운차지만 지쳤을 때는 불완전연소한다.평소에는 등을 둥글게 하고 있다. 화가 났을 때와 놀랐을 때 등에서 불꽃을 뿜어낸다.겁이 많아서 늘 몸을 웅크리고 있다. 습격당하면 등의 불꽃을 타오르게 해서 몸을 보호한다.겁쟁이 같은 성격이다. 놀라면 등의 불꽃이 한층 더 강하게 타오른다.겁이 많아서 늘 몸을 웅크리고 있다. 습격당하면 등의 불꽃을 타오르게 해서 몸을 보호한다.평소에는 등을 둥글게 하고 있다. 화가 났을 때와 놀랐을 때 등에서 불꽃을 뿜어낸다.겁쟁이 같은 성격이다. 놀라면 등의 불꽃이 한층 더 강하게 타오른다.겁이 많아서 늘 몸을 웅크리고 있다. 습격당하면 등의 불꽃을 타오르게 해서 몸을 보호한다.겁쟁이 같은 성격이다. 놀라면 등의 불꽃이 한층 더 강하게 타오른다.등에서 불꽃을 내뿜어 몸을 지킨다. 화났을 때의 불꽃은 기운차지만 지쳤을 때는 불완전연소한다.자료 없음","불꽃","","육상"
"마그케인","배틀 중에 등을 보이면 주의가 필요하다. 등의 불꽃으로 공격해올 것이라는 뜻이다.몸을 뒤덮은 털가죽은 절대로 불에 타지 않는다. 어떠한 불꽃 공격에도 괜찮다.싸우기 전에 등을 보이며 자신의 불꽃이 얼마나 대단한지 상대에게 일부러 보여둔다.불꽃의 기세와 열풍으로 위협한다. 재빠른 몸동작으로 상대의 공격을 피하면서 동시에 불꽃으로 태운다.몸을 뒤덮은 털가죽은 절대로 불에 타지 않는다. 어떠한 불꽃 공격에도 괜찮다.배틀 중에 등을 보이면 주의가 필요하다. 등의 불꽃으로 공격해올 것이라는 뜻이다.불꽃의 열로 상대를 위협한다. 싸울 태세가 되면 불꽃의 기세가 강해진다.불꽃의 열로 상대를 위협. 싸울 태세가 되면 불꽃의 기세가 커진다.배틀 중에 등을 보이면 주의가 필요하다. 등의 불꽃으로 공격해올 것이라는 뜻이다.몸을 뒤덮은 털가죽은 절대로 불에 타지 않는다. 어떠한 불꽃 공격에도 괜찮다.불꽃의 열로 상대를 위협한다. 싸울 태세가 되면 불꽃의 기세가 강해진다.싸우기 전에 등을 보이며 자신의 불꽃이 얼마나 대단한지 상대에게 일부러 보여둔다.배틀 중에 등을 보이면 주의가 필요하다. 등의 불꽃으로 공격해올 것이라는 뜻이다.불꽃의 기세와 열풍으로 위협한다. 재빠른 몸동작으로 상대의 공격을 피하면서 동시에 불꽃으로 태운다.자료 없음","불꽃","","육상"
"블레이범","분노가 정점에 달했을 때 건드린 자를 모두 순식간에 불태워버릴 정도로 뜨겁다.한창 타오르는 털을 문질러 폭풍을 일으켜서 공격하는 큰 기술을 감추어 놓고 있다.블레이범의 주위에서 아지랑이가 흔들거리기 시작하는 것은 싸울 준비가 됐다는 신호다.작열하는 불꽃으로 주변에 아지랑이를 만들어내서 모습을 숨길 수 있다. 불타오르며 폭발하는 바람은 모든 것을 태운다.한창 타오르는 털을 문질러 폭풍을 일으켜서 공격하는 큰 기술을 감추어 놓고 있다.분노가 정점에 달했을 때 건드린 자를 모두 순식간에 불태워버릴 정도로 뜨겁다.불꽃 폭풍으로 공격한다. 작열하는 불꽃으로 아지랑이를 만들어 내어 모습을 감춘다.분노가 정점에 달했을 때 건드린 자를 모두 순식간에 불태워버릴 정도로 뜨겁다.한창 타오르는 털을 문질러 폭풍을 일으켜서 공격하는 큰 기술을 감추어 놓고 있다.불꽃 폭풍으로 공격한다. 작열하는 불꽃으로 아지랑이를 만들어 내어 모습을 감춘다.분노가 정점에 달했을 때 건드린 자를 모두 순식간에 불태워버릴 정도로 뜨겁다.한창 타오르는 털을 문질러 폭풍을 일으켜서 공격하는 큰 기술을 감추어 놓고 있다.작열하는 불꽃으로 주변에 아지랑이를 만들어내서 모습을 숨길 수 있다. 불타오르며 폭발하는 바람은 모든 것을 태운다.자료 없음","불꽃","","육상"
"리아코","발달한 턱은 파워풀해서 뭐든지 깨물어 부수기 때문에 어버이 트레이너라도 주의해야 한다.작아도 성격은 아주 거칠다. 눈앞에서 움직이는 것이 있으면 무조건 물어버린다.눈앞에서 움직이는 모든 것에 물고 늘어지는 난폭꾼. 섣불리 뒤를 보여선 안 된다.몸은 작지만 턱의 힘은 강하다. 리아코 나름은 살포시 물려고 하지만 큰 상처를 입힐 정도의 힘이 있다.작아도 성격은 아주 거칠다. 눈앞에서 움직이는 것이 있으면 무조건 물어버린다.발달한 턱은 파워풀해서 뭐든지 깨물어 부수기 때문에 어버이 트레이너라도 주의해야 한다.발달된 턱을 갖고 있어 무엇이든 물어버리는 습성이 있다. 트레이너도 주의가 필요하다.발달한 턱은 파워풀해서 뭐든지 깨물어 부수기 때문에 어버이 트레이너라도 주의해야 한다.작아도 성격은 아주 거칠다. 눈앞에서 움직이는 것이 있으면 무조건 물어버린다.발달된 턱을 갖고 있어 무엇이든 물어버리는 습성이 있다. 트레이너도 주의가 필요하다.작아도 성격은 아주 거칠다. 눈앞에서 움직이는 것이 있으면 무조건 물어버린다.발달한 턱은 파워풀해서 뭐든지 깨물어 부수기 때문에 어버이 트레이너라도 주의해야 한다.몸은 작지만 턱의 힘은 강하다. 리아코 나름은 살포시 물려고 하지만 큰 상처를 입힐 정도의 힘이 있다.자료 없음","물","","괴수,수중1"
"엘리게이","이빨이 빠져도 계속해서 자란다. 항상 입안에는 48개의 이빨이 나 있다.큰 입을 벌려서 공격한다. 물었을 때 빠진 이빨은 계속해서 돋아난다.한번 문 사냥감은 절대 놓치지 않도록 이빨 끝이 뒤로 휘어져 있다.한 번 물고 늘어지면 절대로 놓지 않는다. 이빨 끝이 낚싯바늘처럼 휘어져 있어서 한 번 들어가면 빠지지 않는다.큰 입을 벌려서 공격한다. 물었을 때 빠진 이빨은 계속해서 돋아난다.이빨이 빠져도 계속해서 자란다. 항상 입안에는 48개의 이빨이 나 있다.한번 물면 이빨이 빠질 때까지 절대로 떨어지지 않는다. 빠진 이빨은 금방 돋아난다.이빨이 빠져도 계속해서 자란다. 항상 입안에는 48개의 이빨이 나 있다.큰 입을 벌려서 공격한다. 물었을 때 빠진 이빨은 계속해서 돋아난다.한번 물면 이빨이 빠질 때까지 절대로 떨어지지 않는다. 빠진 이빨은 금방 돋아난다.이빨이 빠져도 계속해서 자란다. 항상 입안에는 48개의 이빨이 나 있다.한번 물면 이빨이 빠질 때까지 절대 놓지 않는다. 빠진 이빨은 바로 자라난다.한 번 물고 늘어지면 절대로 놓지 않는다. 이빨 끝이 낚싯바늘처럼 휘어져 있어서 한 번 들어가면 빠지지 않는다.자료 없음","물","","괴수,수중1"
"장크로다일","크고 힘센 턱으로 한번 물면 그대로 목을 흔들어 상대를 갈기갈기 찢는다.지상에서는 몸을 지탱하기가 힘들기 때문에 엎드려 다니지만 매우 빠르게 이동할 수 있다.커다란 몸통을 가졌지만 힘센 뒷발을 써서 지상에서도 재빠르게 움직인다.큰 입을 열고 상대를 위협한다. 강인한 뒷다리로 땅을 차고 굉장한 스피드로 돌진해온다.지상에서는 몸을 지탱하기가 힘들기 때문에 엎드려 다니지만 매우 빠르게 이동할 수 있다.크고 힘센 턱으로 한번 물면 그대로 목을 흔들어 상대를 갈기갈기 찢는다.평소에는 느긋하게 움직이지만 먹이를 물 때에는 눈에 보이지 않는 엄청난 스피드를 낸다.크고 힘센 턱으로 한번 물면 그대로 목을 흔들어 상대를 갈기갈기 찢는다.지상에서는 몸을 지탱하기가 힘들기 때문에 엎드려 다니지만 매우 빠르게 이동할 수 있다.평소에는 느긋하게 움직이지만 먹이를 물 때에는 눈에 보이지 않는 엄청난 스피드를 낸다.크고 힘센 턱으로 한번 물면 그대로 목을 흔들어 상대를 갈기갈기 찢는다.큰 입을 열고 상대를 위협한다. 강인한 뒷다리로 땅을 차고 굉장한 스피드로 돌진해온다.자료 없음","물","","괴수,수중1"
"꼬리선","꼬리를 세워서 조금이라도 먼 곳의 상태를 살피는 경계심이 강한 포켓몬이다.먼 곳까지 볼 수 있도록 꼬리를 사용해서 선다. 상대를 발견하면 큰 소리로 동료에게 알린다.망보기 역은 날카롭게 울거나 꼬리로 땅을 쳐서 동료에게 위험을 알린다.잠잘 때는 교대로 망을 본다. 위험을 탐지하면 동료를 깨운다. 무리에서 떨어지면 무서워서 자지 못한다.먼 곳까지 볼 수 있도록 꼬리를 사용해서 선다. 상대를 발견하면 큰 소리로 동료에게 알린다.꼬리를 세워서 조금이라도 먼 곳의 상태를 살피는 경계심이 강한 포켓몬이다.매우 신경질적인 성격이다. 멀리까지 볼 수 있도록 꼬리를 써서 발돋움한다.꼬리를 세워서 조금이라도 먼 곳의 상태를 살피는 경계심이 강한 포켓몬이다.먼 곳까지 볼 수 있도록 꼬리를 사용해서 선다. 상대를 발견하면 큰 소리로 동료에게 알린다.매우 신경질적인 성격이다. 멀리까지 볼 수 있도록 꼬리를 써서 발돋움한다.망보기 역은 날카롭게 울거나 꼬리로 땅을 쳐서 동료에게 위험을 알린다.먼 곳까지 볼 수 있도록 꼬리를 사용해서 선다. 상대를 발견하면 큰 소리로 동료에게 알린다.잠잘 때는 교대로 망을 본다. 위험을 탐지하면 동료를 깨운다. 무리에서 떨어지면 무서워서 자지 못한다.잠잘 때는 교대로 망을 본다. 위험을 탐지하면 동료를 깨운다. 무리에서 떨어지면 무서워서 잠을 자지 못한다.등장하지 않음","노말","","육상"
